;Sexe;Age_en_Classes;Age;Niv_Education;Sexe_Age;Sexe_Educ;Age_Educ;Sex_Age_Edu;Important;Relance;CulturePays
763;Femme;25_29;27;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;mes enfants. mon mari.;pour arriver à payer sans problèmes la maison que nous venons de faire construire.;la culture de l esprit, la lecture. le cinéma.
762;Femme;25_29;28;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;ma famille.;avoir de l'argent pour faire ses commissions. pouvoir se nourrir et s'habiller décemment.;les livres. le cinéma. la télévision. la danse.
761;Femme;20_24;20;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;être aimée des autres.;le travail.;le cinéma, les livres. c est tout.
760;Homme;30_34;34;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;ma famille.;mon travail.;le sport. le théâtre. le temps libre.
759;Homme;65_70;67;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;le travail.;rien.
758;Homme;>70;75;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;la famille. l'entourage immédiat.;la lecture. les musées. le cinéma.
259;Femme;40_44;41;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;le travail. la famille.;
260;Femme;25_29;27;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;le bonheur.;la santé. le travail. la joie de vivre.;elle se détériore.
261;Femme;40_44;41;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la solidarité.;la santé.;faire des efforts.
262;Homme;>70;76;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;l'ambiance familiale. la justice.;je pense que plus les hommes sont instruits plus ils font des bêtises.
263;Homme;60_64;63;faible;H>55;H_faible;>55_faible;H>55_faible;du travail.;un salaire pour vivre. la santé. la famille.;il faudrait faire davantage.
346;Homme;25_29;27;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé.;réussite professionnelle et sentimentale dans la vie.;la cuisine traditionnelle.
345;Homme;40_44;40;faible;H31_55;H_faible;31_55_faible;H31_55_faible;la politesse vis à vis des gens âgés.;la paix. l'amour. la tendresse. la justice.;livres. musées. châteaux.
189;Homme;60_64;62;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;la santé.;faire ce que l'on a envie de faire.;elle est pas mal à condition que l on s en occupe.
187;Homme;40_44;44;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;le travail et l'emploi.;la culture française pour moi c est le théâtre, le cinéma mais j ai pas le temps de le suivre.
269;Homme;60_64;61;faible;H>55;H_faible;>55_faible;H>55_faible;une bonne santé.;;tout est bien.
578;Femme;40_44;40;faible;F31_55;F_faible;31_55_faible;F31_55_faible;être heureux, ne plus avoir de problèmes.;que mes enfants soient heureux eux aussi.;aux livres, la lecture, le théâtre, le cinéma. les chansons aussi font partie de la culture.
577;Femme;20_24;24;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;avoir un travail. la famille et les amis.;
576;Homme;20_24;23;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;la santé.;le travail, pas de chômage, la famille, j'aime beaucoup retourner à la maison pendant mes vacances, mes weekends. l'amour aussi, trouver une fille avec laquelle je peux faire ma vie.;le monde du théâtre, je pense particulièrement à Anouilh qui vient de disparaître. au niveau des auteurs du théâtre, je pense à leur travail et à leur renommée.
575;Homme;30_34;31;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;le pouvoir d'achat.;la santé. le travail, pas de risque de chômage, c'est très important. la famille aussi, j'aimerais la voir plus souvent.;
574;Homme;60_64;61;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;les moyens de vivre, le salaire, la retraite, qu'ils soient suffisants. le sport. le contact humain.;elle est bien la culture française, le théâtre, le cinéma.
573;Femme;20_24;22;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;réussir mes études.;les amis. les loisirs. ma vie familiale.;théâtre. cinéma. littérature.
934;Homme;30_34;32;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;le bonheur et l'argent.;rayonnement à travers le monde. très grande richesse des oeuvres.
764;Homme;45_49;47;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;ma vie familiale.;mon travail.;une certaine détente physique dans l art, le cinéma, le bienêtre intellectuel musique concert.
757;Homme;50_54;51;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;l'amitié.;le temps libre. la famille.;tout ce qui est art musique, cinéma, littérature. Jack Lang le premier ministre qui a sorti la culture de l ornière où elle était.
915;Femme;20_24;22;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;la santé.;l'amitié. la liberté.;il y a de gros progrès à faire au niveau de l éducation.
914;Femme;35_39;35;faible;F31_55;F_faible;31_55_faible;F31_55_faible;mon mari et mon fils.;la santé. retrouver du travail.;ne sait pas.
913;Homme;35_39;36;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la famille.;la santé. le travail.;"il y a une culture pour certains ; il y a des pauvres gens qui n entendront jamais parler de culture."
912;Homme;55_59;58;faible;H>55;H_faible;>55_faible;H>55_faible;vivre bien, respecter les gens.;ne sait pas.;bien.
911;Homme;40_44;44;faible;H31_55;H_faible;31_55_faible;H31_55_faible;essayer d'être heureux à sa façon.;une bonne vie conjugale. l'argent.;en dégradation. trop technique, trop matérialiste.
910;Femme;50_54;54;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la bonne entente familiale.;une bonne santé. le travail. un peu de distractions. des bons hivers sans neige (campagne).;c est joli, mais plus ça va, plus les gens sont cultivés, instruits et moins ils trouvent de travail.
909;Homme;45_49;49;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;le travail.;il faut un enseignement au départ dès la classe maternelle plus sérieux.
908;Femme;25_29;25;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;la santé.;être aimée, avoir du travail.;la connaissance. les arts. l éducation.
907;Homme;>70;72;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;avoir du travail. la liberté. la fraternité.;les instituteurs devraient plus apprendre aux enfants, écouter les parents, la politesse. dans les sports, les petites campagnes ne sont pas assez aidées, il faudrait plus d écoles.
239;Homme;60_64;61;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;le bien être de ma famille, enfants entourage. que tout le monde soit heureux.;si on prend : littérature, théâtre progresse avec, suit son temps.
291;Femme;20_24;21;faible;F<=30;F_faible;<=30_faible;F<=30_faible;une bonne santé.;une situation stable. une famille heureuse autour de moi.;rien du tout je m en moque, ça ne m intéresse pas !
805;Homme;20_24;22;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la musique.;la vie. la liberté. le travail. l'argent.;
806;Homme;>70;86;faible;H>55;H_faible;>55_faible;H>55_faible;la santé.;vieillir en gardant sa femme et non pas seul. être pas trop loin de ses enfants et petitsenfants. avoir suffisamment d'argent pour n'avoir pas à se priver.;je ne sais pas, les livres et l instruction peutêtre.
807;Homme;55_59;58;faible;H>55;H_faible;>55_faible;H>55_faible;être en bonne santé.;avoir pas mal d'argent. avoir une bonne ambiance dans son travail. profiter au maximum des vacances. bien vivre avec de bons copains.;tout ce qu on apprend à l école et qui s est passé avant nous.
808;Homme;50_54;54;faible;H31_55;H_faible;31_55_faible;H31_55_faible;rien n'est plus important que d'autre, il faut vivre le mieux possible.;avoir de bons copains. avoir plus d'argent. avoir une vie plus calme. pouvoir vivre à la campagne.;je ne vois pas. tout ce qu on voit à la télévision : les films, le théâtre.
793;Homme;25_29;25;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;faire ce que j'ai envie de faire le jour où j'ai envie de le faire.;c'est tout le reste est secondaire.;s intéresse à tout. tout dépend la capacité de compréhension des gens. c est tout.
786;Homme;50_54;50;faible;H31_55;H_faible;31_55_faible;H31_55_faible;d'avoir du travail et pouvoir continuer de bien vivre.;la sécurité de l'avenir pour les jeunes surtout. la sécurité de tous les français dans tous les domaines.;l instruction, pour l école c est plus difficile pour les enfants à apprendre. il y a bien des choses qu ils n apprennent plus. plus d histoire de France, ni géographie, elle n est que survolée dans les cours.
160;Homme;55_59;58;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;la vie.;la santé, la famille, le travail, les amis. la sécurité, le pouvoir d'achat.;on pense à tous les chefsd oeuvre depuis les cathédrales jusqu aux colonnes de Buren au Louvre. on pense aux auteurs depuis la chanson de Rolland jusqu à nos jours. le cinéma aussi Chabrol, Truffaut... et la gastronomie également, la mode. tout un art de vivre de chez nous.
1016;Homme;20_24;22;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;l'amour.;la connaissance qui permet la tolérance. la démocratie. l'équilibre de vie entre travail, famille et où le travail ne passe jamais avant la famille.;un passé où on a été un peu le phare dans le monde. maintenant on y est beaucoup plus récepteur qu émetteur.
173;Femme;55_59;55;faible;F31_55;F_faible;31_55_faible;F31_55_faible;avoir une bonne profession pour être à l'aise matériellement.;la santé.;
174;Homme;30_34;34;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;la santé.;une bonne situation, un salaire honnête, un emploi stable sécurisant.;
175;Homme;30_34;30;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;assurer un avenir aux enfants.;donner une sécurité aux enfants affective et matérielle, le mariage.;l histoire de France
176;Homme;>70;71;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;une famille unie.;la paix autour de soi, pouvoir augmenter son ambition.;"elle s en va à ""vélo""! j en suis très fier, elle a aidé à un progrès considérable dans l humanisme."
177;Femme;>70;72;faible;F>55;F_faible;>55_faible;F>55_faible;la santé.;la santé physique et la santé morale, le bien des enfants.;notre façon de vivre.
1015;Femme;20_24;21;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;se sentir bien dans sa peau et être heureuse.;avoir un travail qui me plaît, avoir assez d'argent pour subvenir à ses besoins et même fonder un foyer.;il est important d être cultivé surtout pour soimême.
975;Femme;35_39;39;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la famille autour de moi.;la santé, mon mari, mes enfants, ma maison, ne pas avoir de chômage et pouvoir instruire et placer mes enfants.;à des savants à des chercheurs.
56;Femme;45_49;49;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;la famille.;la santé, la réussite de la famille plus l'amitié plus la possibilité de m'offrir ce qui me fait plaisir (voyages) (lectures) (objets d'art) (vêtements).;Molière, ?????, Fragonard, Rimbaud, Rabelais.
60;Femme;20_24;21;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;la santé.;la famille, le travail, les loisirs, le sport, les passions.;je pense littérature, beauxarts, stylisme, gastronomie, science.
59;Femme;30_34;30;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;mes enfants et mon mari.;pouvoir rendre service aux autres surtout aux personnes âgées. bien élever ses enfants.;l ensemble des poètes, écrivains, les savants, les profs de médecine.
58;Femme;50_54;52;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;la vie de famille dans le cadre de la nature.;sur le plan mondial, il faut élargir essayer d'avoir un équilibre en pays et civilisation, éviter la misère.;que l on reste tolérant, respectueux des droits de l homme. qu on se fasse connaître, apprécier, respecter comme une nation généreuse.
57;Homme;20_24;22;superieur;H<=30;H_superieur;<=30_superieur;H<=30_superieur;être heureux, bien dans la vie.;l'amitié, le partage.;en perte de vitesse par rapport à il y a un siècle. ne concerne moins de monde qu avant. ne s européanise pas.
170;Femme;40_44;43;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la famille.;les enfants, les petitsenfants.;c est le dernier de mes soucis !
169;Femme;50_54;50;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;l'amour familial, la chaleur d'une famille unie.;elle est en régression. c est un grave problème ça démarre à l école primaire on n apprend plus à nos enfants, c est moins sérieux.
183;Femme;35_39;36;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;le travail et l'argent pour vivre.;il faudrait avoir le temps de s en occuper.
184;Homme;40_44;41;superieur;H31_55;H_superieur;31_55_superieur;H31_55_superieur;l'amitié.;l'amour.;
185;Homme;25_29;28;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la santé.;la famille et l'amitié.;musique. beauxarts. peinture.
186;Homme;25_29;28;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;la famille.;la maison (famille). jolie voiture.;pas grand chose.
171;Femme;>70;71;faible;F>55;F_faible;>55_faible;F>55_faible;l'honnêteté.;la santé. une bonne entente une bonne ambiance.;j aime le caractère français nous sommes communicatifs avec les autres.
172;Femme;25_29;25;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;le foyer.;le travail, la profession.;c est l intelligence en général.
746;Femme;60_64;63;faible;F>55;F_faible;>55_faible;F>55_faible;un bon équilibre.;la famille. la santé et vivre sans trop se tracasser.;c est toujours pareil ceux qui vont à l école et qui apprennent bien. une bonne culture est appréciable
984;Homme;30_34;33;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;de travailler.;avoir la santé.;pas grand chose, ça ne m intéresse pas beaucoup.
983;Femme;30_34;34;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;avoir ce qu'il faut pour pouvoir vivre heureux.;la santé. les enfants. le travail scolaire.;l enseignement dans les écoles est bon.
982;Femme;40_44;41;faible;F31_55;F_faible;31_55_faible;F31_55_faible;la santé.;le travail.;c est important.
248;Femme;30_34;32;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;ma vie privée.;la qualité de la vie. le temps libre et ce que j'en fais.;c est très vague comme question.
249;Femme;25_29;25;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;bien vivre.;être heureux. pas de problèmes. avoir de l'argent.;
250;Homme;>70;72;superieur;H>55;H_superieur;>55_superieur;H>55_superieur;la santé.;la liberté. la paix. une société plus juste.;développement des sciences, les livres, l art, le patrimoine. éviter qu elle perde ses particularités tout en restant ouverte aux influences étrangères.
26;Femme;30_34;34;moyen;F31_55;F_moyen;31_55_moyen;F31_55_moyen;la santé.;la réussite des enfants. la vie de couple.;livre, télévision. cinéma, théâtre.
27;Femme;45_49;49;faible;F31_55;F_faible;31_55_faible;F31_55_faible;être heureux, rendre heureux.;la justice, la solidarité, une vie normale pour tous.;très important. fière de l histoire de la France ce qu elle ??????.
28;Femme;25_29;26;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;être heureux.;assurer le maximum à mes enfants trouver du travail.;pas assez inculquée aux gens.
29;Homme;20_24;24;moyen;H<=30;H_moyen;<=30_moyen;H<=30_moyen;l'ambition.;vivre heureux.;il n y a plus de culture française.
30;Homme;55_59;58;moyen;H>55;H_moyen;>55_moyen;H>55_moyen;la santé.;les enfants heureux, le travail, la santé, le travail des enfants.;une bonne moyenne. elle se maintient à peu près.
792;Homme;50_54;50;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;le bonheur.;ça dépend quelque chose d'important dans l'immédiat, peut ne plus l'être dans un an, mais plus tard. me remarier et avoir des enfants.;à la langue française, c est ça en priorité, l esprit français, quand vous aurez vécu dans d autres pays vous comprendrez, je préfère être français sans être chauvin.
799;Femme;30_34;33;faible;F31_55;F_faible;31_55_faible;F31_55_faible;ma religion.;pouvoir élever mes enfants selon les principes bibliques.;ou la culture de l esprit ? qui est tombée basse.
992;Femme;35_39;38;faible;F31_55;F_faible;31_55_faible;F31_55_faible;mes enfants.;réussir une vie de couple. la sécurité des vieux jours. ne pas être anxieuse du lendemain et du manque d'argent.;lire des livres..., aller au théâtre... visiter les musées, aller dans les concerts... l écologie...
991;Femme;25_29;28;faible;F<=30;F_faible;<=30_faible;F<=30_faible;être bien dans sa tête : être heureux, avoir le moral...;avoir une bonne situation, avoir une bonne santé, être riche.;la connaissance sur beaucoup de choses : politique... l école, les études, cinéma, théâtre, la lecture.
52;Homme;50_54;51;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;être en bonne santé.;avoir toujours suffisamment d'argent pour vivre. toujours avoir des amis. quand je serai âgé, qu'on s'occupe de moi.;
930;Femme;25_29;28;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;l'amitié.;l'ambiance, le travail, la santé, la famille.;qu elle se dégrade de jour en jour.
931;Femme;25_29;25;superieur;F<=30;F_superieur;<=30_superieur;F<=30_superieur;la vie.;la vie à deux, son épanouissement personnel, suffisamment d'argent pour pouvoir l'atteindre (épanouissement).;l Académie Française, une culture très ancienne, une façon de vivre avec son passé.
119;Femme;20_24;21;moyen;F<=30;F_moyen;<=30_moyen;F<=30_moyen;les enfants.;la famille, les parents, les amis, la sécurité de l'emploi.;la musique. c est tout.
120;Femme;60_64;63;faible;F>55;F_faible;>55_faible;F>55_faible;mon mari.;mes enfants, rien d'autre.;je ne sais pas répondre, je ne saisis pas bien la phrase.
122;Homme;30_34;34;moyen;H31_55;H_moyen;31_55_moyen;H31_55_moyen;être bien dans sa peau.;pouvoir fonder un foyer, vivre heureuse, avoir des enfants, et être en bonne santé et du travail.;pas grand chose, je pense : jeune, instruction, loisirs, détente, maturité. c est tout.
251;Femme;>70;80;moyen;F>55;F_moyen;>55_moyen;F>55_moyen;la santé.;être entourée de gens, la famille.;elle est bonne.
252;Femme;35_39;35;superieur;F31_55;F_superieur;31_55_superieur;F31_55_superieur;le calme intérieur.;ma fille, le bonheur des gens qu'on aime.;très riche, se perd un peu par rapport au scientifique.
253;Homme;60_64;60;faible;H>55;H_faible;>55_faible;H>55_faible;être bien dans sa peau et heureux dans son ménage.;avoir la santé, la famille, avoir de quoi vivre aisément, être logé convenablement, liberté d'action et de parole.;c est très bien, elle est insuffisamment connue dans le monde. elle est ignorée, insuffisamment pratiquée dans le monde, certaines générations l ignorent, beaucoup de connaissances, très grande culture, je suis en admiration, à faire connaître mais sans l imposer.
