nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
600012835;CIRIOS;05701;Caméra à scintillation sans détecteur d'émission de positons;322609642;32-22-43824;32-22-43824;2001-12-18;600005409;2017-07-21
800019317;SELAS D'IMAGERIE SCINTIGRAPHIQUE;05705;Tomographe à émissions;322609761;32-22-59691;32-22-59691;2016-06-07;600013791;2020-06-05
600112056;GIE CIMA;05705;Tomographe à émissions;322609646;32-22-860;32-22-860;2010-03-25;600112445;2021-08-09
600112056;GIE CIMA;05701;Caméra à scintillation sans détecteur d'émission de positons;322609647;32-22-609;32-22-609;2001-07-18;600112445;2002-01-22
600112056;GIE CIMA;05701;Caméra à scintillation sans détecteur d'émission de positons;322609648;32-22-662;32-22-662;2003-11-24;600112445;2004-05-11
620003814;FONDATION HOPALE;05701;Caméra à scintillation sans détecteur d'émission de positons;322609649;32-31-1182;32-31-1182;1997-11-07;620000026;2001-09-26
620100651;CENTRE HOSPITALIER BETHUNE BEUVRY;05701;Caméra à scintillation sans détecteur d'émission de positons;322609658;32-31-1192;32-31-1192;2004-06-15;620000224;2005-10-11
620100651;CENTRE HOSPITALIER BETHUNE BEUVRY;05705;Tomographe à émissions;322609659;32-31-1315;32-31-1315;2003-02-19;620000224;2005-10-11
620100651;CENTRE HOSPITALIER BETHUNE BEUVRY;05701;Caméra à scintillation sans détecteur d'émission de positons;322609660;32-31-1165;32-31-1165;2001-12-18;620000224;2003-11-28
620103440;CH DE BOULOGNE-SUR-MER;05705;Tomographe à émissions;322609661;32-31-54353;32-31-54353;2015-08-04;620000653;2018-10-24
620103440;CH DE BOULOGNE-SUR-MER;05701;Caméra à scintillation sans détecteur d'émission de positons;322609662;32-31-1239;32-31-1239;2014-08-21;620000653;2001-11-26
620103440;CH DE BOULOGNE-SUR-MER;05702;Caméra à scintillation avec détecteur d'émission de positons;322609663;32-31-1188;32-31-1188;2001-12-18;620000653;2005-10-14
620103440;CH DE BOULOGNE-SUR-MER;05705;Tomographe à émissions;322609664;32-31-1402;32-31-1402;2003-03-31;620000653;2006-01-17
620027821;SAS TEP JEAN PERRIN;05705;Tomographe à émissions;322609653;32-31-46284;32-31-46284;2009-06-16;620029942;2011-02-10
620026898;GCS CENTRE DE CANCEROLOGIE DE L'ARTOIS;05705;Tomographe à émissions;322609833;32-31-70710;32-31-70710;2019-04-16;620033779;
620019067;S.I.M.B.B. DE BOIS-BERNARD;05701;Caméra à scintillation sans détecteur d'émission de positons;322609650;32-31-1272;32-31-1272;2003-03-18;620033910;2008-02-08
620019067;S.I.M.B.B. DE BOIS-BERNARD;05701;Caméra à scintillation sans détecteur d'émission de positons;322609651;32-31-1271;32-31-1271;2004-06-15;620033910;2004-11-21
620019067;S.I.M.B.B. DE BOIS-BERNARD;05701;Caméra à scintillation sans détecteur d'émission de positons;322609652;32-31-1270;32-31-1270;2000-12-30;620033910;2001-06-30
620030163;SAS TEP HENRI BECQUEREL;05705;Tomographe à émissions;322609654;32-31-46285;32-31-46285;2013-01-14;620034017;2016-01-27
620035949;RADIOPOLE ARTOIS (SIMRA);05701;Caméra à scintillation sans détecteur d'émission de positons;322609655;32-31-51239;32-31-51239;2007-02-27;620035956;2011-02-10
620035949;RADIOPOLE ARTOIS (SIMRA);05701;Caméra à scintillation sans détecteur d'émission de positons;322609656;32-31-1409;32-31-1409;2004-10-19;620035956;2004-10-19
620035949;RADIOPOLE ARTOIS (SIMRA);05701;Caméra à scintillation sans détecteur d'émission de positons;322609657;32-31-1408;32-31-1408;2004-10-19;620035956;2004-10-19
630781110;CENTRE LUTTE CONTRE LE CANCER J.PERRIN;05705;Tomographe à émissions;842609669;84-83-35832;84-83-35832;2001-07-30;630000479;2004-04-22
630781110;CENTRE LUTTE CONTRE LE CANCER J.PERRIN;05701;Caméra à scintillation sans détecteur d'émission de positons;842609670;84-83-35838;84-83-35838;2009-07-01;630000479;2010-03-09
630781110;CENTRE LUTTE CONTRE LE CANCER J.PERRIN;05701;Caméra à scintillation sans détecteur d'émission de positons;842609671;84-83-35842;84-83-35842;2008-11-17;630000479;2008-11-17
630781110;CENTRE LUTTE CONTRE LE CANCER J.PERRIN;05701;Caméra à scintillation sans détecteur d'émission de positons;842609672;84-83-35941;84-83-35941;2002-07-09;630000479;1998-12-01
630781110;CENTRE LUTTE CONTRE LE CANCER J.PERRIN;05705;Tomographe à émissions;842609673;84-83-45220;84-83-45220;2013-01-28;630000479;2014-10-01
